BZH,CALL,2002-08-19,68.89,3.69,2002-08-20,67.2,-0.73,2002,0,,-0.73,65.0,2002-10-19,8.19,6.6,1,-159.00,0,,-159.00,0,2020-05-09,
BMY,CALL,2002-08-22,38.27,2.10,2002-08-22,38.27,-0.50,2002,0,,-0.50,37.5,2002-10-19,0.0,0.0,2147483647,-0.00,0,,-0.00,0,2020-05-09,
BMY,PUT,2002-08-20,23.78,1.28,2002-08-21,24.6,-0.82,2002,0,,-0.82,25.0,2002-10-19,2.8,2.29,2,-102.00,0,,-102.00,0,2020-05-09,
BMY,CALL,2002-08-20,23.78,1.28,2002-08-23,25.43,0.15,2002,1,0.15,,25.0,2002-10-19,1.4,2.04,5,320.00,1,320.00,,0,2020-05-09,
SMTC,PUT,2002-08-23,19.32,1.67,2002-08-29,13.51,1.24,2002,1,1.24,,20.0,2002-10-19,3.2,6.6,2,680.00,1,680.00,,0,2020-05-09,
MXIM,PUT,2002-08-28,31.56,2.55,2002-09-04,29.66,-0.13,2002,0,,-0.13,35.0,2002-10-19,5.5,6.3,1,80.00,1,80.00,,0,2020-05-09,
SMTC,PUT,2002-08-23,19.32,1.67,2002-09-06,11.67,1.79,2002,1,1.79,,20.0,2002-10-19,3.2,8.19,2,998.00,1,998.00,,0,2020-05-09,
WMT,CALL,2002-09-10,54.78,1.77,2002-09-11,54.2,-0.66,2002,0,,-0.66,50.0,2002-10-19,6.1,5.0,1,-110.00,0,,-110.00,0,2020-05-09,
LOW,CALL,2002-09-06,44.03,1.65,2002-09-12,43.69,-0.60,2002,0,,-0.60,42.5,2002-10-19,3.9,3.1,2,-160.00,0,,-160.00,0,2020-05-09,
LEN,CALL,2002-09-05,55.32,2.03,2002-09-16,58.05,0.17,2002,1,0.17,,50.0,2002-10-19,7.5,8.8,1,130.00,1,130.00,,0,2020-05-09,
AMGN,PUT,2002-09-19,42.01,1.74,2002-09-24,42.07,-0.52,2002,0,,-0.52,45.0,2002-10-19,4.5,3.8,1,-70.00,0,,-70.00,0,2020-05-09,
KLAC,PUT,2002-09-16,30.79,1.89,2002-09-24,27.96,0.25,2002,1,0.25,,35.0,2002-10-19,5.6,7.1,1,150.00,1,150.00,,0,2020-05-09,
ISIL.201702,PUT,2002-09-16,14.89,1.33,2002-09-24,13.48,0.03,2002,1,0.03,,17.5,2002-10-19,3.8,3.9,2,20.00,1,20.00,,0,2020-05-09,
EDS.200808,PUT,2002-09-18,36.46,1.66,2002-09-25,12.15,6.84,2002,1,6.84,,37.5,2002-10-19,3.5,24.9,2,4280.00,1,4280.00,,0,2020-05-09,
FRX.201406,CALL,2002-09-25,80.2,2.19,2002-09-27,81.94,-0.10,2002,0,,-0.10,75.0,2002-11-16,8.3,8.8,1,50.00,1,50.00,,0,2020-05-09,
ACS.201002,PUT,2002-10-03,39.22,2.11,2002-10-10,38.52,-0.33,2002,0,,-0.33,45.0,2002-11-16,7.3,7.6,1,30.00,1,30.00,,0,2020-05-09,
AMGN,CALL,2002-10-01,44.56,2.07,2002-10-28,49.07,0.59,2002,1,0.59,,42.5,2002-11-16,4.8,6.8,1,200.00,1,200.00,,0,2020-05-09,
FRX.201406,CALL,2002-10-02,89.25,2.47,2002-10-28,97.7,1.21,2002,1,1.21,,85.0,2002-11-16,7.8,13.0,1,520.00,1,520.00,,0,2020-05-09,
RTN,PUT,2002-10-28,28.68,1.44,2002-11-05,29.27,-0.70,2002,0,,-0.70,30.0,2002-12-21,3.2,2.4,2,-160.00,0,,-160.00,0,2020-05-09,
